,story,story_txt,img_len,video_len,campaign_count,campaign_city,url
0,"<div class=""routerContentStory-storyBody"" data-v-1df7bf5a=""""><div> <h3>Hi,</h3>
<p>Thanks for viewing my Campaign page! My name is Codie and I would like to start by telling you a little bit about my self. I am 27 years old and I live in Perth Western Australia I grew up in the harsh Pilbara region of WA in a town called Dampier, I completed an apprenticeship at RioTinto as an instrument electrician which I begun when I was 16 years old (the first ever apprentice of that age) I am a hard and conscientious  worker and since completing my apprenticeship I have worked as a break down electrician for billion dollar out loading ports and am currently operating and maintaining  a gas and steam driven power station in perth WA, I am telling you all this because I believe it is imperative that you know who and what kind of person I am before you decide whether or not to fund my ambitions. I am a seriously hard worker and extremely passionate in what I believe in, I have had the great fortune to travel a majority of the world on all sorts of wild adventures and have currently come to the conclusion that I am not happy with the pathway I have chosen for myself...... I am working for the sake of working and living towards my next annual leave dates - I do not believe this is how life should be lived.</p>
<p>I am also a self proclaimed animal lover, I have seen first hand the violence and cruelty that can be handed out towards kind and innocent animals by the hand of our fellow man and it makes me wish that there was something I could do to help them! I adopted a mistreated Blue Heeler pup in 2010 and since that time have come to the realization that in some way I wish I could do more as I love her to bits and she MAY be somewhat of a spoilt dog now! I am an avid donator for SAFE and any other animal welfare company.</p>
<p>About two years ago I got into ""homebrewing"" I have had a lot of misfortunes in my life due to debilitating injuries which occurred from AFL and a car accident (18 bones broken and 4 surgeries) so I sadly had to give up my football aspirations and what was left inside of me felt like an empty void as I had no hobbies left to do until homebrewing came along, I took to homebrewing like a moth to a flame and have since become what my girlfriend would say ""obsessed"" it is like I have just discovered something that was never there before and gives me that feeling of butterflies in my stomach every taste test after  two weeks of hard work of creating the mash and distilling the final product.</p>
<p>My dream as I have said is to make WA's first dedicated spiced rum from all WA and Australian ingredients as a homage to this great country I call home, this venture will not be cheap I have saved and saved for this dream but I am still a long way off, the equipment and ingredients are not cheap and any type of real estate around Perth is VERY expensive!! I need YOUR help guys to get my idea off the ground and to make everyone proud of me and of this Great state that tends to be left in the shadows from the east.</p>
<p>I am looking at doing something like a part donation for every sale of my product to go towards animal welfare in Australia such as SAFE or RSPCA or even both! this is non negotiable I will be doing my part for the community no matter what happens but getting this idea working will assist in being able to do MORE and help more animals along the way.</p>
<p>I feel like I should also say that this donation money will also assist in getting me the best training out there to create the best quality spiced rum we can make! knowledge is power in this industry and the right education is a MUST for any entrepreneur looking to start out and be competitive.</p>
<p><br/></p>
<p>If you have any further questions guys please ask I hope I haven't bored you to tears and THANK YOU for reading!</p>
<h3><br/></h3>
<h3><br/></h3>
</div></div>","Hi,
Thanks for viewing my Campaign page! My name is Codie and I would like to start by telling you a little bit about my self. I am 27 years old and I live in Perth Western Australia I grew up in the harsh Pilbara region of WA in a town called Dampier, I completed an apprenticeship at RioTinto as an instrument electrician which I begun when I was 16 years old (the first ever apprentice of that age) I am a hard and conscientious  worker and since completing my apprenticeship I have worked as a break down electrician for billion dollar out loading ports and am currently operating and maintaining  a gas and steam driven power station in perth WA, I am telling you all this because I believe it is imperative that you know who and what kind of person I am before you decide whether or not to fund my ambitions. I am a seriously hard worker and extremely passionate in what I believe in, I have had the great fortune to travel a majority of the world on all sorts of wild adventures and have currently come to the conclusion that I am not happy with the pathway I have chosen for myself...... I am working for the sake of working and living towards my next annual leave dates - I do not believe this is how life should be lived.
I am also a self proclaimed animal lover, I have seen first hand the violence and cruelty that can be handed out towards kind and innocent animals by the hand of our fellow man and it makes me wish that there was something I could do to help them! I adopted a mistreated Blue Heeler pup in 2010 and since that time have come to the realization that in some way I wish I could do more as I love her to bits and she MAY be somewhat of a spoilt dog now! I am an avid donator for SAFE and any other animal welfare company.
About two years ago I got into ""homebrewing"" I have had a lot of misfortunes in my life due to debilitating injuries which occurred from AFL and a car accident (18 bones broken and 4 surgeries) so I sadly had to give up my football aspirations and what was left inside of me felt like an empty void as I had no hobbies left to do until homebrewing came along, I took to homebrewing like a moth to a flame and have since become what my girlfriend would say ""obsessed"" it is like I have just discovered something that was never there before and gives me that feeling of butterflies in my stomach every taste test after  two weeks of hard work of creating the mash and distilling the final product.
My dream as I have said is to make WA's first dedicated spiced rum from all WA and Australian ingredients as a homage to this great country I call home, this venture will not be cheap I have saved and saved for this dream but I am still a long way off, the equipment and ingredients are not cheap and any type of real estate around Perth is VERY expensive!! I need YOUR help guys to get my idea off the ground and to make everyone proud of me and of this Great state that tends to be left in the shadows from the east.
I am looking at doing something like a part donation for every sale of my product to go towards animal welfare in Australia such as SAFE or RSPCA or even both! this is non negotiable I will be doing my part for the community no matter what happens but getting this idea working will assist in being able to do MORE and help more animals along the way.
I feel like I should also say that this donation money will also assist in getting me the best training out there to create the best quality spiced rum we can make! knowledge is power in this industry and the right education is a MUST for any entrepreneur looking to start out and be competitive.

If you have any further questions guys please ask I hope I haven't bored you to tears and THANK YOU for reading!",0.0,0,"1 Campaign
                |","Perth, Australia",https://www.indiegogo.com/projects/wa-s-first-dedicated-spiced-rum-distillery/pica
0,"<div class=""routerContentStory-storyBody"" data-v-1df7bf5a=""""><b>OUR STORY...</b><br/><br/>Hi! My name is <b>Wayne Kitchen</b> and I am a chef, restaurateur, husband and father of four. I'm also a proud northern BC'er, having been born, raised and educated in Prince George.<br/><br/>Within my 16 years in the restaurant industry, I was co-owner of <a href=""http://www.princegeorge.ca/Pages/default.aspx"" rel=""noopener nofollow"">Prince George's</a> successful <a href=""http://www.cimos.ca/"" rel=""noopener nofollow"" target=' target=""_blank""'>Cimo Mediterranean Grill</a> for nearly a decade. After Cimo, I took a four year travel sabbatical with my family to re-connect and explore my inspiration for food around our own kitchen table. Most recently, I've been creating intimate gatherings with customers in their homes; this has given me a chance to really explore my highest creative expressions and offer a personal touch to what service means for my customers and for me.<br/><br/>It is my love of our Earth, family and community that inspires me deeply as a chef. It is what makes me want to cook for YOU, my community, as I do for my family. With my previous history and the new inspiration cultivated from my last four years, I'm ready to share once again. I have a location for the restaurant and now I just require my community...that's you!<br/><br/>Your community restaurant is called<a href=""http://paneatery.com/"" rel=""noopener nofollow"" target=""_blank""> ""Pan, Eatery &amp; Public House""</a>.<br/><p></p><p></p><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438115464/vah9sht5hnuistqespoi.jpg"" src="""" style=""""/></p>It boasts a beautiful handcrafted maple slab community dining table for 22 people, various private dining tables and a gracious outdoor patio overlooking a treed green space.  We even have a private dining room for intimate gatherings. <br/><p style=""text-align: center;""><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438109916/jf5jd6gobpviyv6mgd6s.jpg"" src="""" style=""width: 280.136px; height: 145px;""/>       <img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438109927/z6a3lnhmeiigzomlgyjg.jpg"" src="""" style=""width: 277.533px; height: 143px;""/></p>The menu is being made in-house with as many local products as I can procure on a seasonal basis; whether it's the freshest local greens and ripe greenhouse sweet tomatoes...or grass-fed beef to squashes, berries and fruits. <br/><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438109976/yyv32sh6pm87tkz550ig.jpg"" src="""" style=""width: 607.15px; height: 378px;""/></p>We will forage for local mushrooms and other culinary delights from the forests. We will feature the comfort of old favourites, and twists on cultural dishes that are sure to please and inspire. We have a pizza oven that will be turning out the best flavors on our made in-house pizza dough. I truly feel that food and farming is an essential link for a healthier planet, and strong and peaceful communities.<br/><br/>Service is of utmost importance at Pan because I believe that everyone needs to be thoughtfully fed, and well taken care of.<br/><br/>I'm so grateful for the soaring supportive comments and well-wishes from my family, from friends and from customers as I begin something new. Here is what one of my recent in-home dining clients had to share:<br/><i><b>""What a wonderful evening it was!!  We cannot thank you enough...it was because of All of You that we are left with the memory of an 'Experience' that we will talk about until the day we die'.</b></i><br/><br/><b>WHAT WE NEED AND WHY...</b><br/><br/>I am preparing to open <b>Pan in Prince George this fall of 2015</b> and desire your help to get started. To make this happen, I am asking for an additional 'outside' support of <b>$35,000</b> to help with start-up costs including an essential kitchen renovation and some inspired changes for the restaurant decor.<br/><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438110057/o1icb5rjr7ly4wf79ueu.jpg"" src="""" style=""width: 640.552px; height: 360px;""/></p>Pan was a former neighborhood pub that was graciously updated but has a tiny, inefficient kitchen and requires some small inputs such as paint and lighting and some furniture to complete the mood we are creating so we may operate for you at our peak performance. The renos are in fact already underway! With your generous support, we can open our doors and lay out the tables to Prince George this fall. <br/><p></p><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438115892/ffvspedao6nho0bbt73z.jpg"" src="""" style=""""/></p><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438116022/bfachqrhl2vihotewo5j.jpg"" src="""" style=""""/></p>Pan offers our community something unique - a reason to gather, to connect and strengthen our relationships with each other and the <a href=""http://www.farmersmarketpg.ca/"" rel=""noopener nofollow"" target=""_blank"">area's growers and producers</a>, to invite dialogue that will help change how we eat, where we live and of course to enjoy truly inspired dining!<br/><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438110654/vzddfpksne3tb2sihvkg.jpg"" src="""" style=""width: 282.767px; height: 160px;""/>      <img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438110697/mg9w65wzihzuqrzapxrs.jpg"" src="""" style=""width: 284.855px; height: 160px;""/></p>With your donations to Pan, through this campaign, you can help to invigorate the relationships our community has with local farmers and growers who meet daily struggles to keep small farms thriving. The support you offer to us is a handshake to a nearby farmer. It is a friendly ""hello...I'm thinking of you and I support what you do for us"". Your donations, small or large, will provide a space for people and families in <a href=""http://www.hellobc.com/northern-british-columbia.aspx"" rel=""noopener nofollow"" target=""_blank"">northern BC</a> to gather, enjoy and appreciate finely crafted local foods.  <br/><br/>We appreciate ALL your support. We are grateful for any donations, and if you can't donate at this time, <b>YOU CAN</b> still help!<br/><b>MAKE SOME NOISE! <br/>Get passionate!  </b><br/>Spread the word about our campaign and our vision for our community. Your voice means so much to us so please share... don't forget to use the Indiegogo share tools! <br/><br/>Thank you,<br/>Wayne Kitchen and family.<br/><p><img class=""lazy"" data-src=""https://res.cloudinary.com/indiegogo-media-prod-cld/image/upload/c_limit,w_695/v1438110546/z1azltv50lc6eynethyc.jpg"" src="""" style=""width: 203.701px; height: 307px;""/></p> <br/></div>","OUR STORY...Hi! My name is Wayne Kitchen and I am a chef, restaurateur, husband and father of four. I'm also a proud northern BC'er, having been born, raised and educated in Prince George.Within my 16 years in the restaurant industry, I was co-owner of Prince George's successful Cimo Mediterranean Grill for nearly a decade. After Cimo, I took a four year travel sabbatical with my family to re-connect and explore my inspiration for food around our own kitchen table. Most recently, I've been creating intimate gatherings with customers in their homes; this has given me a chance to really explore my highest creative expressions and offer a personal touch to what service means for my customers and for me.It is my love of our Earth, family and community that inspires me deeply as a chef. It is what makes me want to cook for YOU, my community, as I do for my family. With my previous history and the new inspiration cultivated from my last four years, I'm ready to share once again. I have a location for the restaurant and now I just require my community...that's you!Your community restaurant is called ""Pan, Eatery & Public House"".It boasts a beautiful handcrafted maple slab community dining table for 22 people, various private dining tables and a gracious outdoor patio overlooking a treed green space.  We even have a private dining room for intimate gatherings.        The menu is being made in-house with as many local products as I can procure on a seasonal basis; whether it's the freshest local greens and ripe greenhouse sweet tomatoes...or grass-fed beef to squashes, berries and fruits. We will forage for local mushrooms and other culinary delights from the forests. We will feature the comfort of old favourites, and twists on cultural dishes that are sure to please and inspire. We have a pizza oven that will be turning out the best flavors on our made in-house pizza dough. I truly feel that food and farming is an essential link for a healthier planet, and strong and peaceful communities.Service is of utmost importance at Pan because I believe that everyone needs to be thoughtfully fed, and well taken care of.I'm so grateful for the soaring supportive comments and well-wishes from my family, from friends and from customers as I begin something new. Here is what one of my recent in-home dining clients had to share:""What a wonderful evening it was!!  We cannot thank you enough...it was because of All of You that we are left with the memory of an 'Experience' that we will talk about until the day we die'.WHAT WE NEED AND WHY...I am preparing to open Pan in Prince George this fall of 2015 and desire your help to get started. To make this happen, I am asking for an additional 'outside' support of $35,000 to help with start-up costs including an essential kitchen renovation and some inspired changes for the restaurant decor.Pan was a former neighborhood pub that was graciously updated but has a tiny, inefficient kitchen and requires some small inputs such as paint and lighting and some furniture to complete the mood we are creating so we may operate for you at our peak performance. The renos are in fact already underway! With your generous support, we can open our doors and lay out the tables to Prince George this fall. Pan offers our community something unique - a reason to gather, to connect and strengthen our relationships with each other and the area's growers and producers, to invite dialogue that will help change how we eat, where we live and of course to enjoy truly inspired dining!      With your donations to Pan, through this campaign, you can help to invigorate the relationships our community has with local farmers and growers who meet daily struggles to keep small farms thriving. The support you offer to us is a handshake to a nearby farmer. It is a friendly ""hello...I'm thinking of you and I support what you do for us"". Your donations, small or large, will provide a space for people and families in northern BC to gather, enjoy and appreciate finely crafted local foods.  We appreciate ALL your support. We are grateful for any donations, and if you can't donate at this time, YOU CAN still help!MAKE SOME NOISE! Get passionate!  Spread the word about our campaign and our vision for our community. Your voice means so much to us so please share... don't forget to use the Indiegogo share tools! Thank you,Wayne Kitchen and family.",10.0,0,"1 Campaign
                |","Prince George, Canada",https://www.indiegogo.com/projects/pan-eatery-public-house--3/pica
0,"<div class=""routerContentStory-storyBody"" data-v-1df7bf5a=""""><div> <h3>Short Summary</h3>
<div><br/></div>
<div>This campaign is to help us get our affiliate off the ground, we need to renovate the lease space, purchase equipment as well as all the other things that go along with starting a business. We also want to lay everything out so that once we open our doors the focus can be solely on improving peoples lives.<br/>
</div>
<div>Whether you are pre-purchasing your membership at our discounted founder rates or just helping out we greatly appreciate any contribution as it makes a huge difference in the pursuit of our dreams.</div>
<div><span style=""font-size: 24px; font-weight: bold; letter-spacing: 0px; line-height: 30px;""><br/></span></div>
<div>
<span style=""font-size: 24px; font-weight: bold; letter-spacing: 0px; line-height: 30px;"">What We Need </span><br/>
</div>
</div><div>
<div><span style=""letter-spacing: 0px;""><br/></span></div>
<div><span style=""letter-spacing: 0px;"">For our start up we estimate the initial costs as follows;</span></div>
<p>$15,000 In Equipment<span><br/></span><span>$3,000 in CrossFit affiliate fees <span><br/></span></span><span style=""letter-spacing: 0px;"">$3,000 in Flooring<span><br/></span></span><span style=""letter-spacing: 0px;"">$3,000 in Renovations - Drywall, paint, electrical<span><br/></span></span><span style=""letter-spacing: 0px;"">$2,000 in lease start up costs<span><br/></span></span><span style=""letter-spacing: 0px;"">$1,500 Permit to operate with our city</span></p>
<p><span><span><span><span><br/></span></span></span></span></p>
<p><span style=""font-size: 24px; font-weight: bold; letter-spacing: 0px; line-height: 30px;"">The Impact</span><br/></p>
</div><div>
<div><br/></div>
<div>The big picture dream with our start-up is to make dramatic change in peoples lives. The reason I am no longer involved with real estate is because it just didn't feel like I was contributing much to my community. </div>
<div>Through this vehicle, we will be able to effect many lives, and as anyone who has begun an exercise program knows it can be incredibly powerful to see the changes your body is going through when moving towards a healthier lifestyle. </div>
<div>We have years of coaching experience under our belt and feel that given this exciting new opportunity we can start to make some pretty dramatic change in how people make decisions around their nutrition and exercise.</div>
<div><br/></div> <p><span style=""font-size: 24px; font-weight: bold; letter-spacing: 0px; line-height: 30px;"">Risks &amp; Challenges</span><br/></p>
<p><span style=""font-size: 24px; font-weight: bold; letter-spacing: 0px; line-height: 30px;""><br/></span></p>
<p><span style=""letter-spacing: 0px;"">None of this is going to be easy, without the support of our family, friends and community within the gym we wouldn't be able to accomplish our goal. We rely on you to keep the wind in our sails. The goal is to help as many people as possible to live a longer, healthier and more vibrant life. Let's make it happen!</span></p>
<p><span style=""letter-spacing: 0px;""><br/></span></p>
</div><div>
<ul> </ul> </div> <div> <h3>Other Ways You Can Help</h3>
<div><br/></div> <p>There are more ways to help us make our dreams come true! Word of mouth is likely the most powerful form of advertising out there, and the best part about it is that it's free! If you or someone you know has been a client of ours and been impacted by us spread the word! Also don't forget to connect with us through social media and share our campaign! :)</p>
</div></div>","Short Summary

This campaign is to help us get our affiliate off the ground, we need to renovate the lease space, purchase equipment as well as all the other things that go along with starting a business. We also want to lay everything out so that once we open our doors the focus can be solely on improving peoples lives.

Whether you are pre-purchasing your membership at our discounted founder rates or just helping out we greatly appreciate any contribution as it makes a huge difference in the pursuit of our dreams.


What We Need 



For our start up we estimate the initial costs as follows;
$15,000 In Equipment$3,000 in CrossFit affiliate fees $3,000 in Flooring$3,000 in Renovations - Drywall, paint, electrical$2,000 in lease start up costs$1,500 Permit to operate with our city

The Impact


The big picture dream with our start-up is to make dramatic change in peoples lives. The reason I am no longer involved with real estate is because it just didn't feel like I was contributing much to my community. 
Through this vehicle, we will be able to effect many lives, and as anyone who has begun an exercise program knows it can be incredibly powerful to see the changes your body is going through when moving towards a healthier lifestyle. 
We have years of coaching experience under our belt and feel that given this exciting new opportunity we can start to make some pretty dramatic change in how people make decisions around their nutrition and exercise.
 Risks & Challenges

None of this is going to be easy, without the support of our family, friends and community within the gym we wouldn't be able to accomplish our goal. We rely on you to keep the wind in our sails. The goal is to help as many people as possible to live a longer, healthier and more vibrant life. Let's make it happen!


    Other Ways You Can Help
 There are more ways to help us make our dreams come true! Word of mouth is likely the most powerful form of advertising out there, and the best part about it is that it's free! If you or someone you know has been a client of ours and been impacted by us spread the word! Also don't forget to connect with us through social media and share our campaign! :)",0.0,0,"2 Campaigns
                |","Campbell River, Canada",https://www.indiegogo.com/projects/primal-athletics-home-of-crossfit-campbell-river/pica
0,"<div class=""routerContentStory-storyBody"" data-v-1df7bf5a=""""><div>
<span style=""background-color: initial;"">Hello! We're Nolan and Gabby, and we're a couple of college kids looking to start a seasonal snow cone business in the scorching hot city of Las Vegas! With the help of our contributors, we can keep Las Vegas cool and earn enough money to fund our post-secondary educations!</span><br/>
</div><div>Before we can get Brain Freeze up and running, we need enough start up money to get:</div><div><ul>
<li>Business licenses ($$)</li>
<li>A snow cone machine ($$$!)</li>
<li>Syrups/Cups/Spoons/Napkins ($)</li>
</ul></div><div>
<ul> </ul>
<div>Your contributions are valuable because all of the money made will be going directly towards our (stupid expensive out-of-state) college tuition! While we by no means expect running a two man snow cone shack to be an easy summer job, with your help, we believe we have what it takes to start what has the potential to be a very successful business!   </div>
</div><div>We understand that not everybody is capable of making monetary contributions, and we ask that you simply help us spread the word if this is the case! </div></div>","Hello! We're Nolan and Gabby, and we're a couple of college kids looking to start a seasonal snow cone business in the scorching hot city of Las Vegas! With the help of our contributors, we can keep Las Vegas cool and earn enough money to fund our post-secondary educations!
Before we can get Brain Freeze up and running, we need enough start up money to get:
Business licenses ($$)
A snow cone machine ($$$!)
Syrups/Cups/Spoons/Napkins ($)

 
Your contributions are valuable because all of the money made will be going directly towards our (stupid expensive out-of-state) college tuition! While we by no means expect running a two man snow cone shack to be an easy summer job, with your help, we believe we have what it takes to start what has the potential to be a very successful business!   
We understand that not everybody is capable of making monetary contributions, and we ask that you simply help us spread the word if this is the case!",0.0,0,"1 Campaign
                |","Las Vegas, United States",https://www.indiegogo.com/projects/brain-freeze/pica
